mean_variance	median_variance	nun5	nun20	nun50
"AGAP000514"	8.62220087302178	8.23725623845004	99	265	503
"AGAP000519"	10.0303872043493	8.8558457488858	21	44	102
"AGAP000520"	9.74164079995699	8.67928731370425	32	69	114
"AGAP000521"	9.42175531057282	8.49409325320386	24	67	120
"AGAP000522"	4.87314137154995	4.87249479070552	137	485	983
"AGAP000523"	4.39885358848024	4.28912866384768	94	233	412
"AGAP000526"	7.58794451903926	6.81743090424286	69	180	346
"AGAP000528"	8.8883186641751	7.99047905762581	74	196	360
"AGAP000529"	8.75808947758198	7.77351048304772	38	92	160
"AGAP000530"	6.1195186505468	6.28226875723931	127	404	760
"AGAP000531"	8.16238350704835	8.24758077283169	114	344	681
"AGAP000532"	9.46250292846016	8.40550892905856	25	65	114
"AGAP000533"	10.5904432265104	9.52799975982269	76	258	545
"AGAP000534"	11.2133509747359	10.4106904457539	75	301	613
"AGAP000535"	9.27655321416674	8.41543306760239	41	98	154
"AGAP000536"	8.40725702364212	8.22423307570871	76	197	348
"AGAP000537"	1.45850412890593	1.03573258262004	120	336	609
"AGAP000538"	8.50131869268689	7.78299590016393	62	133	231
"AGAP000539"	10.5911624564663	8.87958267403441	8	27	61
"AGAP000540"	9.13570533738973	8.17655079674506	63	158	324
"AGAP000541"	1.15736502329007	0.735395459937024	117	319	584
